Video ID,Title,Published,Views,Length,Watch,From Your Title,Product,Product #,Pack #,Hit,Hit Info,Sets & Packs,Greatest Hits,Greatest Hits Rank,Playlist To Add,Affiliate Link,Site Title,Short Description,Feature,Hide,Notes
_RuAmy2dGL8,"Is Rampardos ex a ""Real"" Hit? 🦖🤔",2026-08-19,26,0:20,watch,desc: pack 9  Pitch Black,Sleeved Booster Pack,,9,No,,Pitch Black,,,,,,,,,
iIgTusrqVtg,"I Just Pulled a $1,000 Card! 😱🐸",2026-08-18,1126,0:28,watch,desc: #3 pack 3  Chaos Rising,ETB,3,3,Yes,Mega Greninja ex - Hyper Rare - Gold Card,Chaos Rising,Yes,1,,,,,,,
DP8HG31X1rg,Is Pack #13 Actually CURSED? 💀🌑,2026-08-17,795,0:20,watch,title: pack 13  Chaos Rising,Single Booster Pack,,13,No,,Chaos Rising,,,,,,,,,
VZtK6rT7ZTI,Trubbish Food 🗑️🤘 | Pitch Black Pack #8,2026-08-16,916,0:21,watch,title: pack 8  Pitch Black,ETB,1,8,No,,Pitch Black,,,,,,,,,
E5Wz7X1VMeY,8 Packs and NO HITS?! 🌑💀,2026-08-15,791,0:19,watch,desc: pack 8  Pitch Black,Sleeved Booster Pack,,8,No,,Pitch Black,,,,,,,,,
T2-UqY2ZSOw,The Chaos Rising Struggle is REAL 💀,2026-08-14,1010,0:21,watch,desc: pack 2  Chaos Rising,ETB,3,2,No,,Chaos Rising,,,,,,,,,
O5WscUY7qZI,The Cutest Pull Ever?! 🐭✨ Chaos Rising,2026-08-13,728,0:20,watch,desc: pack 12  Chaos Rising,Single Booster Pack,,12,Yes,Cinccino ex - Double Black Star - Double Rare,Chaos Rising,,,,,,,,,
IQMn3DNCzik,This ETB is BREAKING me! 🌑💀,2026-08-12,667,0:20,watch,desc: pack 7  Pitch Black,ETB,1,7,No,,Pitch Black,,,,,,,,,
2XdMKde79M8,Pitch Black is SAVAGE Today! 🌑💀,2026-08-11,15,0:18,watch,desc: pack 7  Pitch Black,Single Booster Pack,,7,No,,Pitch Black,,,,,,,,,
RZInASE6x1c,Chaos Rising ETB #3: The First Pack Reality 💀,2026-08-10,1117,0:21,watch,title: #3  Chaos Rising,ETB,3,1,No,,Chaos Rising,,,,,,,,,
